Volkswagen Golf,Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),Country,Capital
19289.39,19305.29, Russia,Saint Petersburg
24443.15,20874.72, Turkey,Istanbul
24443.15,20898.83, Turkey,Izmir
22000.0,24402.77, Finland,Helsinki
16335.12,17238.13, Moldova,Chisinau
22400.0,23233.33, Italy,Milan
25098.6,21020.29, Egypt,Cairo
16859.68,16529.98, Bosnia And Herzegovina,Banja Luka
15558.4,18564.59, Azerbaijan,Baku
16535.22,15579.09, Mexico,Guadalajara
29976.83,46216.93, Nepal,Kathmandu
38808.39,33491.64, Vietnam,Hanoi
38894.22,30780.17, Vietnam,Ho Chi Minh City
16702.48,14844.85, Mexico,Mexico City
20700.0,23535.29, Italy,Rome
16424.2,14421.34, Mexico,Monterrey
19857.48,18832.1, Russia,Yekaterinburg
17868.62,17681.12, Bosnia And Herzegovina,Sarajevo
22507.19,21067.14, Ukraine,Kharkiv
21608.29,20758.91, Ukraine,Kiev
17186.61,15976.18, Canada,Calgary
21863.24,21400.1, Tunisia,Tunis
16499.14,16049.12, Canada,Edmonton
25505.0,26696.43, Netherlands,Amsterdam
17828.77,17474.32, Serbia,Belgrade
21584.23,21373.22, Ukraine,Odessa
21500.0,24250.0, France,Paris
24830.0,25728.62, Netherlands,Eindhoven
17863.74,17879.91, Bulgaria,Plovdiv
18500.0,18173.5, Greece,Thessaloniki
17186.61,16072.54, Canada,Ottawa
19518.73,18183.2, Bulgaria,Sofia
23600.0,23899.0, Netherlands,Rotterdam
18374.14,17065.34, Bulgaria,Varna
20402.08,17816.21, Serbia,Novi Sad
23000.0,33271.6, Netherlands,Utrecht
19520.0,19749.0, Germany,Berlin
19766.67,18766.59, Lebanon,Beirut
19627.4,18743.38, United States,"Austin, TX"
76598.98,67345.1, Singapore,Singapore
18011.56,17570.16, Canada,Toronto
20909.09,17575.02, New Zealand,Auckland
16990.0,17648.57, Montenegro,Podgorica
17186.61,16057.11, Canada,Vancouver
20769.54,18110.35, Japan,Tokyo
17217.21,15784.74, Canada,Victoria
17186.61,16214.83, Canada,Winnipeg
19789.8,18411.02, United States,"Boston, MA"
19614.71,18842.65, United States,"Chicago, IL"
15494.56,17285.46, Kazakhstan,Almaty
34626.88,31245.91, Norway,Oslo
25000.0,21048.75, Germany,Frankfurt
16000.0,15734.55, Slovakia,Bratislava
17071.22,17561.12, United States,"Dallas, TX"
19477.3,19816.57, Croatia,Zagreb
20000.0,18687.14, Germany,Hamburg
18568.29,18145.28, Poland,Krakow (Cracow)
18000.0,17447.92, Latvia,Riga
18568.29,17406.43, Poland,Gdansk
13870.83,12884.76, Chile,Santiago
14620.32,13240.85, Kenya,Nairobi
20179.96,16818.27, United Arab Emirates,Abu Dhabi
20170.99,18944.36, United States,"Houston, TX"
9343.0,11163.69, Georgia,Tbilisi
19555.79,17555.13, United Arab Emirates,Dubai
16488.6,19255.63, Colombia,Bogota
17851.84,19466.46, Czech Republic,Brno
22500.0,20552.31, Germany,Munich
18558.88,17368.45, Poland,Poznan
18856.43,19092.7, United States,"Las Vegas, NV"
23325.97,25282.88, United Kingdom,London
19753.89,18702.58, United States,"Los Angeles, CA"
16172.73,17281.6, Panama,Panama City
24887.49,21511.36, South Korea,Seoul
18568.29,18629.93, Poland,Warsaw
17812.17,17568.31, Czech Republic,Prague
16772.88,18141.8, Poland,Wroclaw
33823.9,25033.13, Malaysia,Kuala Lumpur
19627.4,18118.42, United States,"New York, NY"
33453.16,32048.06, Denmark,Copenhagen
19000.0,19070.45, Slovenia,Ljubljana
10791.47,21138.58, India,Chandigarh
24834.98,32151.75, Sri Lanka,Colombo
10124.87,20946.7, India,Noida
18000.0,18406.01, Lithuania,Kaunas
18000.0,18860.32, Greece,Athens
19156.78,18257.94, United States,"Phoenix, AZ"
28915.3,25340.81, Hong Kong,Hong Kong
21563.64,20494.34, United States,"Portland, OR"
25000.0,24381.58, Portugal,Lisbon
18230.92,15336.76, China,Beijing
18683.75,17607.3, South Africa,Cape Town
16413.03,17174.1, Albania,Tirana
25900.0,24087.5, Portugal,Porto
17242.92,17400.43, South Africa,Durban
17376.41,18153.92, Hungary,Budapest
17500.0,17570.0, Lithuania,Vilnius
18824.0,18124.04, South Africa,Johannesburg
22000.0,20971.43, Spain,Barcelona
20665.15,18876.87, United States,"San Diego, CA"
19802.61,20177.73, United States,"San Francisco, CA"
15479.65,16586.24, Peru,Lima
22462.12,20472.62, United States,"Seattle, WA"
15960.0,17335.45, Romania,Brasov
16534.62,18299.48, Romania,Bucharest
17071.22,19227.58, Uzbekistan,Tashkent
10757.68,20809.53, India,Ahmedabad
15681.1,16513.42, Romania,Cluj-Napoca
20000.0,21470.45, Spain,Madrid
17600.0,17310.65, Estonia,Tallinn
11390.48,22444.75, India,Bangalore
15697.62,16999.32, Romania,Iasi
11390.48,21604.75, India,Chennai
17315.57,16539.84, Qatar,Doha
10124.87,21350.29, India,Delhi
10757.68,22201.55, India,Gurgaon
18000.0,18714.29, Spain,Valencia
22700.0,22357.62, Austria,Vienna
11517.04,21345.77, India,Hyderabad
26432.17,28427.94, Uruguay,Montevideo
34966.12,34787.86, Israel,Tel Aviv-Yafo
15960.0,16218.73, Romania,Timisoara
27049.67,20708.03, Taiwan,Taipei
10757.68,19667.56, India,Kolkata
16978.82,17796.64, Macedonia,Skopje
18230.92,17412.39, China,Shanghai
38574.86,25233.71, Thailand,Bangkok
10757.68,20378.51, India,Mumbai
26126.4,30138.76, Iceland,Reykjavik
30414.16,26341.51, Jordan,Amman
11390.48,21438.9, India,Pune
20354.4,20991.58, Sweden,Stockholm
16200.77,16555.15, Argentina,Buenos Aires
13477.27,17670.15, Belarus,Minsk
20446.99,23528.04, Costa Rica,San Jose
20632.89,19226.1, Morocco,Casablanca
18558.88,17681.61, Poland,Lodz
16499.14,15522.12, Canada,Montreal
20133.28,19475.33, Brazil,Sao Paulo
