1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Country,Capital
71.86,38.25,74.88,100.72, Russia,Saint Petersburg
36.15,25.91,61.31,50.58, Turkey,Istanbul
33.2,22.48,52.74,42.2, Turkey,Izmir
83.41,31.41,82.49,120.97, Finland,Helsinki
56.54,35.37,86.25,94.38, Moldova,Chisinau
86.65,32.8,86.32,135.8, Italy,Milan
42.38,44.32,114.98,56.92, Egypt,Cairo
63.44,26.64,73.77,74.25, Bosnia And Herzegovina,Banja Luka
43.59,40.16,93.36,76.12, Azerbaijan,Baku
40.8,29.7,68.04,57.71, Mexico,Guadalajara
24.3,27.81,49.71,38.55, Nepal,Kathmandu
30.9,28.7,73.25,67.54, Vietnam,Hanoi
37.62,29.14,81.51,66.79, Vietnam,Ho Chi Minh City
41.62,32.29,73.85,72.78, Mexico,Mexico City
80.36,31.39,79.79,116.65, Italy,Rome
40.51,28.55,66.7,61.59, Mexico,Monterrey
62.56,38.29,74.23,91.27, Russia,Yekaterinburg
53.86,29.39,71.16,86.28, Bosnia And Herzegovina,Sarajevo
64.99,42.65,90.65,105.76, Ukraine,Kharkiv
64.03,40.73,98.26,110.43, Ukraine,Kiev
42.31,30.61,66.55,84.89, Canada,Calgary
39.79,37.3,71.6,45.83, Tunisia,Tunis
45.49,33.79,64.09,83.04, Canada,Edmonton
84.49,37.62,93.85,133.43, Netherlands,Amsterdam
65.5,27.28,74.8,92.13, Serbia,Belgrade
74.37,50.34,97.01,107.27, Ukraine,Odessa
86.04,36.0,92.46,135.0, France,Paris
81.36,29.35,78.11,110.76, Netherlands,Eindhoven
42.91,24.77,69.62,66.04, Bulgaria,Plovdiv
74.39,27.6,71.64,87.5, Greece,Thessaloniki
45.53,34.91,72.18,99.17, Canada,Ottawa
55.98,27.08,67.24,71.3, Bulgaria,Sofia
84.5,31.55,85.25,130.28, Netherlands,Rotterdam
38.91,25.6,58.15,63.31, Bulgaria,Varna
61.05,31.26,71.99,82.88, Serbia,Novi Sad
100.8,37.56,91.65,123.76, Netherlands,Utrecht
81.47,31.93,81.71,104.49, Germany,Berlin
58.37,42.06,99.0,102.15, Lebanon,Beirut
39.01,33.93,67.69,88.55, United States,"Austin, TX"
61.63,33.52,81.17,93.88, Singapore,Singapore
47.84,31.55,73.58,91.59, Canada,Toronto
63.43,33.45,83.44,101.35, New Zealand,Auckland
56.9,31.14,72.86,83.54, Montenegro,Podgorica
47.41,35.88,72.71,97.36, Canada,Vancouver
58.4,37.28,71.31,120.05, Japan,Tokyo
44.76,29.97,74.95,106.6, Canada,Victoria
41.31,28.48,64.95,75.29, Canada,Winnipeg
43.34,27.76,71.03,91.75, United States,"Boston, MA"
45.28,35.06,73.0,96.56, United States,"Chicago, IL"
44.78,38.14,74.49,86.52, Kazakhstan,Almaty
92.08,37.59,97.4,132.04, Norway,Oslo
73.23,34.45,88.13,100.52, Germany,Frankfurt
61.69,26.4,64.3,76.5, Slovakia,Bratislava
36.03,39.5,70.62,89.32, United States,"Dallas, TX"
73.88,30.63,78.16,92.24, Croatia,Zagreb
76.37,33.13,90.08,120.78, Germany,Hamburg
56.98,27.82,60.83,69.58, Poland,Krakow (Cracow)
60.72,33.49,69.47,85.56, Latvia,Riga
66.1,29.86,70.49,80.9, Poland,Gdansk
44.51,23.96,49.88,68.12, Chile,Santiago
22.49,23.63,54.02,46.33, Kenya,Nairobi
57.76,44.76,79.53,80.32, United Arab Emirates,Abu Dhabi
36.88,33.83,61.38,86.21, United States,"Houston, TX"
52.06,29.84,73.33,82.53, Georgia,Tbilisi
56.09,46.54,85.37,87.23, United Arab Emirates,Dubai
48.26,31.9,69.88,66.61, Colombia,Bogota
58.75,30.91,71.83,78.65, Czech Republic,Brno
76.44,32.85,84.29,124.0, Germany,Munich
72.06,30.29,63.96,76.16, Poland,Poznan
39.76,30.57,66.91,82.55, United States,"Las Vegas, NV"
76.44,37.03,77.94,93.35, United Kingdom,London
44.31,30.85,70.02,94.26, United States,"Los Angeles, CA"
44.34,32.52,59.09,76.53, Panama,Panama City
