"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Country,Capital
102.17,10.29, Russia,Saint Petersburg
59.33,19.08, Turkey,Istanbul
51.07,22.23, Turkey,Izmir
82.66,1.38, Finland,Helsinki
113.46,9.42, Moldova,Chisinau
163.97,1.95, Italy,Milan
25.79,13.42, Egypt,Cairo
141.04,4.46, Bosnia And Herzegovina,Banja Luka
42.65,8.21, Azerbaijan,Baku
22.64,11.24, Mexico,Guadalajara
24.92,11.06, Nepal,Kathmandu
67.49,8.39, Vietnam,Hanoi
51.25,9.15, Vietnam,Ho Chi Minh City
30.09,11.28, Mexico,Mexico City
171.15,2.12, Italy,Rome
49.81,10.25, Mexico,Monterrey
113.13,10.56, Russia,Yekaterinburg
140.53,4.6, Bosnia And Herzegovina,Sarajevo
117.46,19.1, Ukraine,Kharkiv
98.74,19.52, Ukraine,Kiev
132.57,3.48, Canada,Calgary
30.66,9.23, Tunisia,Tunis
154.54,3.62, Canada,Edmonton
169.18,2.33, Netherlands,Amsterdam
135.76,3.99, Serbia,Belgrade
94.58,19.0, Ukraine,Odessa
170.29,1.63, France,Paris
168.08,2.41, Netherlands,Eindhoven
79.71,4.11, Bulgaria,Plovdiv
160.39,4.56, Greece,Thessaloniki
102.76,3.63, Canada,Ottawa
89.74,3.51, Bulgaria,Sofia
153.76,2.21, Netherlands,Rotterdam
75.54,4.28, Bulgaria,Varna
122.93,3.49, Serbia,Novi Sad
193.84,2.55, Netherlands,Utrecht
231.8,1.85, Germany,Berlin
122.43,7.35, Lebanon,Beirut
124.12,4.09, United States,"Austin, TX"
97.79,2.52, Singapore,Singapore
95.48,3.33, Canada,Toronto
99.55,4.22, New Zealand,Auckland
103.09,6.55, Montenegro,Podgorica
62.72,3.78, Canada,Vancouver
162.41,1.46, Japan,Tokyo
78.71,3.7, Canada,Victoria
87.74,3.45, Canada,Winnipeg
119.59,4.22, United States,"Boston, MA"
117.08,4.23, United States,"Chicago, IL"
58.48,15.4, Kazakhstan,Almaty
158.58,2.81, Norway,Oslo
265.52,1.91, Germany,Frankfurt
180.44,1.58, Slovakia,Bratislava
139.51,4.19, United States,"Dallas, TX"
174.07,3.9, Croatia,Zagreb
232.62,1.88, Germany,Hamburg
173.28,4.07, Poland,Krakow (Cracow)
