,Average Monthly Net Salary (After Tax),Country,Capital
0,645.94, Russia,Saint Petersburg
1,436.0, Turkey,Istanbul
2,392.07, Turkey,Izmir
3,2382.56, Finland,Helsinki
4,286.95, Moldova,Chisinau
5,1601.0, Italy,Milan
6,221.7, Egypt,Cairo
7,430.69, Bosnia And Herzegovina,Banja Luka
8,294.03, Azerbaijan,Baku
9,498.68, Mexico,Guadalajara
10,184.17, Nepal,Kathmandu
11,354.62, Vietnam,Hanoi
12,347.14, Vietnam,Ho Chi Minh City
13,596.3, Mexico,Mexico City
14,1466.06, Italy,Rome
15,695.46, Mexico,Monterrey
16,537.99, Russia,Yekaterinburg
17,486.12, Bosnia And Herzegovina,Sarajevo
18,337.4, Ukraine,Kharkiv
19,516.75, Ukraine,Kiev
20,2956.33, Canada,Calgary
21,285.79, Tunisia,Tunis
22,2552.22, Canada,Edmonton
23,2646.66, Netherlands,Amsterdam
24,437.24, Serbia,Belgrade
25,360.47, Ukraine,Odessa
26,2215.02, France,Paris
27,2603.84, Netherlands,Eindhoven
28,514.73, Bulgaria,Plovdiv
29,660.51, Greece,Thessaloniki
30,2904.67, Canada,Ottawa
31,708.65, Bulgaria,Sofia
32,2312.39, Netherlands,Rotterdam
33,511.5, Bulgaria,Varna
34,439.58, Serbia,Novi Sad
35,2214.18, Netherlands,Utrecht
36,2289.46, Germany,Berlin
37,859.89, Lebanon,Beirut
38,4097.92, United States,"Austin, TX"
39,2988.12, Singapore,Singapore
40,2352.69, Canada,Toronto
41,2344.96, New Zealand,Auckland
42,484.81, Montenegro,Podgorica
43,2625.31, Canada,Vancouver
44,2657.42, Japan,Tokyo
45,2338.36, Canada,Victoria
46,2068.87, Canada,Winnipeg
47,4132.08, United States,"Boston, MA"
48,3717.02, United States,"Chicago, IL"
49,374.42, Kazakhstan,Almaty
50,2985.88, Norway,Oslo
51,2618.29, Germany,Frankfurt
52,1059.38, Slovakia,Bratislava
53,4202.0, United States,"Dallas, TX"
54,903.99, Croatia,Zagreb
55,2532.52, Germany,Hamburg
56,855.87, Poland,Krakow (Cracow)
57,806.02, Latvia,Riga
58,865.09, Poland,Gdansk
59,618.33, Chile,Santiago
60,327.85, Kenya,Nairobi
61,2369.85, United Arab Emirates,Abu Dhabi
62,3568.78, United States,"Houston, TX"
63,248.07, Georgia,Tbilisi
64,2577.55, United Arab Emirates,Dubai
65,306.08, Colombia,Bogota
66,1022.13, Czech Republic,Brno
67,2627.51, Germany,Munich
68,791.94, Poland,Poznan
69,3132.38, United States,"Las Vegas, NV"
70,2756.93, United Kingdom,London
71,3968.48, United States,"Los Angeles, CA"
72,706.33, Panama,Panama City
73,2120.34, South Korea,Seoul
74,979.42, Poland,Warsaw
75,1183.75, Czech Republic,Prague
76,848.11, Poland,Wroclaw
77,923.24, Malaysia,Kuala Lumpur
78,4665.46, United States,"New York, NY"
79,2803.98, Denmark,Copenhagen
80,1155.72, Slovenia,Ljubljana
81,380.27, India,Chandigarh
82,244.23, Sri Lanka,Colombo
83,536.67, India,Noida
84,771.0, Lithuania,Kaunas
85,787.01, Greece,Athens
86,3113.47, United States,"Phoenix, AZ"
87,2387.66, Hong Kong,Hong Kong
88,3403.15, United States,"Portland, OR"
89,913.81, Portugal,Lisbon
90,1137.26, China,Beijing
91,1140.76, South Africa,Cape Town
92,336.43, Albania,Tirana
93,801.61, Portugal,Porto
94,933.21, South Africa,Durban
95,755.32, Hungary,Budapest
96,912.37, Lithuania,Vilnius
97,1089.06, South Africa,Johannesburg
98,1444.48, Spain,Barcelona
99,4293.13, United States,"San Diego, CA"
100,6532.21, United States,"San Francisco, CA"
101,439.49, Peru,Lima
102,4741.65, United States,"Seattle, WA"
103,554.56, Romania,Brasov
104,658.66, Romania,Bucharest
105,205.98, Uzbekistan,Tashkent
106,303.54, India,Ahmedabad
107,642.86, Romania,Cluj-Napoca
108,1578.77, Spain,Madrid
109,1188.81, Estonia,Tallinn
110,579.22, India,Bangalore
111,529.52, Romania,Iasi
112,403.82, India,Chennai
113,2827.76, Qatar,Doha
114,473.8, India,Delhi
115,859.33, India,Gurgaon
116,1342.17, Spain,Valencia
117,1900.43, Austria,Vienna
118,441.12, India,Hyderabad
119,642.49, Uruguay,Montevideo
120,2306.23, Israel,Tel Aviv-Yafo
121,613.27, Romania,Timisoara
122,1340.77, Taiwan,Taipei
123,323.06, India,Kolkata
124,393.01, Macedonia,Skopje
125,1111.52, China,Shanghai
126,668.6, Thailand,Bangkok
127,487.96, India,Mumbai
128,2908.86, Iceland,Reykjavik
129,545.55, Jordan,Amman
130,531.09, India,Pune
131,2476.17, Sweden,Stockholm
132,483.99, Argentina,Buenos Aires
133,433.37, Belarus,Minsk
134,708.44, Costa Rica,San Jose
135,405.7, Morocco,Casablanca
136,689.44, Poland,Lodz
137,2182.51, Canada,Montreal
138,470.25, Brazil,Sao Paulo
139,2183.46, Sweden,Gothenburg
140,2531.16, Ireland,Dublin
141,970.29, Russia,Moscow
142,335.33, Dominican Republic,Santo Domingo
143,2653.26, Australia,Adelaide
144,5714.8, Switzerland,Zurich
145,295.66, Armenia,Yerevan
146,358.2, Philippines,Manila
147,3030.03, Australia,Brisbane
148,414.33, Indonesia,Jakarta
149,440.17, Turkey,Ankara
150,341.38, Ukraine,Lviv
151,436.28, Russia,Novosibirsk
152,443.85, Turkey,Bursa
153,2289.69, Belgium,Brussels
154,1911.12, Israel,Jerusalem
155,2791.96, Australia,Melbourne
156,2493.77, Australia,Perth
157,3018.36, Australia,Sydney
158,163.94, Egypt,Alexandria
159,527.18, Ecuador,Quito
