,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Country,Capital
0,411.83,5388.86, Russia,Saint Petersburg
1,282.94,6905.43, Turkey,Istanbul
2,212.18,4948.41, Turkey,Izmir
3,351.6,1641.0, Finland,Helsinki
4,210.52,2679.3, Moldova,Chisinau
5,617.27,10761.9, Italy,Milan
6,121.15,2781.29, Egypt,Cairo
7,128.7,1348.77, Bosnia And Herzegovina,Banja Luka
8,208.84,5657.01, Azerbaijan,Baku
9,145.75,2826.61, Mexico,Guadalajara
10,55.92,1154.07, Nepal,Kathmandu
11,166.55,8021.9, Vietnam,Hanoi
12,109.65,7237.44, Vietnam,Ho Chi Minh City
13,211.05,4721.73, Mexico,Mexico City
14,523.86,11972.73, Italy,Rome
15,198.98,4080.55, Mexico,Monterrey
16,199.74,3166.47, Russia,Yekaterinburg
17,164.67,3431.24, Bosnia And Herzegovina,Sarajevo
18,176.48,2033.83, Ukraine,Kharkiv
19,254.74,7483.6, Ukraine,Kiev
20,780.68,10418.14, Canada,Calgary
21,72.31,1644.93, Tunisia,Tunis
22,588.27,6840.27, Canada,Edmonton
23,1542.42,13010.39, Netherlands,Amsterdam
24,245.94,4803.12, Serbia,Belgrade
25,210.98,2358.66, Ukraine,Odessa
26,877.75,12939.69, France,Paris
27,1221.3,4787.5, Netherlands,Eindhoven
28,225.8,3725.87, Bulgaria,Plovdiv
29,301.04,6775.0, Greece,Thessaloniki
30,782.15,9040.16, Canada,Ottawa
31,325.23,4753.12, Bulgaria,Sofia
32,1116.67,10142.86, Netherlands,Rotterdam
33,263.81,3585.51, Bulgaria,Varna
34,167.1,2644.23, Serbia,Novi Sad
35,1450.0,6125.0, Netherlands,Utrecht
36,177.88,6829.05, Germany,Berlin
37,348.27,4684.61, Lebanon,Beirut
38,890.67,17537.93, United States,"Austin, TX"
39,773.41,18581.67, Singapore,Singapore
40,1022.99,17653.1, Canada,Toronto
41,704.18,12204.08, New Zealand,Auckland
42,133.33,8400.0, Montenegro,Podgorica
43,849.75,14093.02, Canada,Vancouver
44,604.02,17051.34, Japan,Tokyo
45,710.97,10171.93, Canada,Victoria
46,375.57,7763.44, Canada,Winnipeg
47,1534.76,24642.48, United States,"Boston, MA"
48,1025.73,15972.64, United States,"Chicago, IL"
49,153.08,4428.44, Kazakhstan,Almaty
50,319.19,10981.56, Norway,Oslo
51,374.56,12630.0, Germany,Frankfurt
52,400.4,8060.0, Slovakia,Bratislava
53,800.09,16891.52, United States,"Dallas, TX"
54,144.52,3840.88, Croatia,Zagreb
55,279.09,13891.67, Germany,Hamburg
56,195.09,6511.18, Poland,Krakow (Cracow)
57,332.8,12155.0, Latvia,Riga
58,189.82,3593.18, Poland,Gdansk
59,353.88,5825.36, Chile,Santiago
60,176.06,9069.26, Kenya,Nairobi
61,532.13,9480.36, United Arab Emirates,Abu Dhabi
62,806.88,18762.48, United States,"Houston, TX"
63,97.73,1914.46, Georgia,Tbilisi
64,490.9,9343.89, United Arab Emirates,Dubai
65,223.12,5386.28, Colombia,Bogota
66,332.95,5549.5, Czech Republic,Brno
67,567.78,11166.67, Germany,Munich
68,197.95,3659.83, Poland,Poznan
69,786.6,12507.1, United States,"Las Vegas, NV"
70,1605.65,21240.0, United Kingdom,London
71,951.17,19335.55, United States,"Los Angeles, CA"
72,231.77,6092.58, Panama,Panama City
73,323.08,16410.38, South Korea,Seoul
74,327.54,7943.07, Poland,Warsaw
75,480.35,8672.3, Czech Republic,Prague
76,255.31,6726.13, Poland,Wroclaw
77,167.18,6040.38, Malaysia,Kuala Lumpur
78,2106.38,34441.93, United States,"New York, NY"
79,429.52,7549.8, Denmark,Copenhagen
80,368.78,10118.75, Slovenia,Ljubljana
81,48.37,1743.81, India,Chandigarh
82,45.28,788.02, Sri Lanka,Colombo
83,87.89,2190.01, India,Noida
84,308.57,6000.0, Lithuania,Kaunas
85,366.83,7385.58, Greece,Athens
86,678.35,13498.49, United States,"Phoenix, AZ"
87,640.36,16701.41, Hong Kong,Hong Kong
88,1076.09,16387.06, United States,"Portland, OR"
89,421.38,7840.74, Portugal,Lisbon
90,625.68,20125.06, China,Beijing
91,186.87,3441.21, South Africa,Cape Town
92,127.15,2323.77, Albania,Tirana
93,324.0,5992.86, Portugal,Porto
94,159.71,3425.69, South Africa,Durban
95,273.3,6677.13, Hungary,Budapest
96,345.0,7031.25, Lithuania,Vilnius
97,217.14,4754.58, South Africa,Johannesburg
98,438.89,7885.0, Spain,Barcelona
99,967.85,16232.63, United States,"San Diego, CA"
100,1959.36,25657.74, United States,"San Francisco, CA"
101,222.68,5049.27, Peru,Lima
102,1568.61,19730.73, United States,"Seattle, WA"
103,225.24,4127.26, Romania,Brasov
104,321.02,6232.03, Romania,Bucharest
105,125.64,3996.17, Uzbekistan,Tashkent
106,51.34,1218.73, India,Ahmedabad
107,262.05,4327.18, Romania,Cluj-Napoca
108,442.96,7353.81, Spain,Madrid
109,250.94,7666.24, Estonia,Tallinn
110,87.82,2473.25, India,Bangalore
111,216.07,3218.01, Romania,Iasi
112,51.12,1470.3, India,Chennai
113,537.35,8918.89, Qatar,Doha
114,68.71,1674.83, India,Delhi
115,104.09,2512.76, India,Gurgaon
116,405.64,7422.22, Spain,Valencia
117,211.88,16035.71, Austria,Vienna
118,60.32,1715.91, India,Hyderabad
119,275.58,5749.21, Uruguay,Montevideo
120,837.46,9237.96, Israel,Tel Aviv-Yafo
121,256.78,3668.81, Romania,Timisoara
122,464.55,10610.54, Taiwan,Taipei
123,37.06,1126.1, India,Kolkata
124,167.42,3238.83, Macedonia,Skopje
125,676.74,22470.47, China,Shanghai
126,244.68,13741.17, Thailand,Bangkok
127,63.14,2070.3, India,Mumbai
128,245.58,6731.73, Iceland,Reykjavik
129,240.53,4568.62, Jordan,Amman
130,71.29,1467.45, India,Pune
131,116.13,5785.11, Sweden,Stockholm
132,162.72,3114.28, Argentina,Buenos Aires
133,402.08,5345.2, Belarus,Minsk
134,322.57,7231.91, Costa Rica,San Jose
135,142.24,4031.18, Morocco,Casablanca
136,230.29,3407.97, Poland,Lodz
137,450.09,5704.32, Canada,Montreal
138,382.48,10102.57, Brazil,Sao Paulo
139,127.02,1660.95, Sweden,Gothenburg
140,1041.49,8078.42, Ireland,Dublin
141,523.31,10478.53, Russia,Moscow
142,152.38,5318.02, Dominican Republic,Santo Domingo
143,396.25,8815.92, Australia,Adelaide
144,2194.64,28414.08, Switzerland,Zurich
145,141.66,3020.37, Armenia,Yerevan
146,143.94,5990.32, Philippines,Manila
147,1074.36,8746.12, Australia,Brisbane
148,140.45,5755.87, Indonesia,Jakarta
149,242.55,5303.45, Turkey,Ankara
150,192.51,2729.0, Ukraine,Lviv
151,222.83,2474.58, Russia,Novosibirsk
152,200.51,4036.19, Turkey,Bursa
153,695.44,18342.86, Belgium,Brussels
154,566.18,4019.43, Israel,Jerusalem
155,1250.41,12874.09, Australia,Melbourne
156,1190.12,11526.08, Australia,Perth
157,1389.43,11933.55, Australia,Sydney
158,55.41,2132.54, Egypt,Alexandria
159,276.63,6410.05, Ecuador,Quito
