One-way Ticket (Local Transport),Monthly Pass (Regular Price),Gasoline (1 liter),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Country,Capital
0.59,42.56,0.67,1.47,0.26,4.4, Russia,Saint Petersburg
0.41,31.32,1.05,0.76,0.47,3.59, Turkey,Istanbul
0.46,22.92,1.04,0.61,0.57,3.51, Turkey,Izmir
2.8,59.7,1.54,6.0,1.0,47.04, Finland,Helsinki
0.1,9.33,0.98,1.3,0.18,3.11, Moldova,Chisinau
2.0,39.0,1.59,5.0,1.12,28.32, Italy,Milan
0.28,11.28,0.45,0.39,0.17,1.13, Egypt,Cairo
0.92,22.48,1.17,1.02,0.77,7.66, Bosnia And Herzegovina,Banja Luka
0.16,9.63,0.49,0.84,0.32,1.58, Azerbaijan,Baku
0.43,18.67,1.0,1.43,0.46,7.16, Mexico,Guadalajara
0.16,7.15,0.87,1.99,0.6,2.78, Nepal,Kathmandu
0.27,7.76,0.79,0.39,0.43,1.16, Vietnam,Hanoi
0.23,5.83,0.8,0.47,0.54,1.17, Vietnam,Ho Chi Minh City
0.29,14.32,0.98,0.62,0.29,4.94, Mexico,Mexico City
1.5,35.0,1.57,4.0,1.41,27.0, Italy,Rome
0.57,17.96,0.97,0.67,0.38,7.18, Mexico,Monterrey
0.41,29.42,0.65,1.47,0.21,3.53, Russia,Yekaterinburg
0.92,27.06,1.19,0.97,0.61,5.11, Bosnia And Herzegovina,Sarajevo
0.3,11.42,1.09,1.5,0.26,3.38, Ukraine,Kharkiv
0.3,12.19,1.12,1.69,0.26,3.0, Ukraine,Kiev
2.34,72.87,0.72,2.61,1.15,19.8, Canada,Calgary
0.16,9.58,0.63,0.16,0.32,4.79, Tunisia,Tunis
2.41,66.68,0.71,2.58,1.13,20.62, Canada,Edmonton
3.2,97.0,1.66,5.0,2.35,40.33, Netherlands,Amsterdam
0.76,27.17,1.35,1.44,0.55,6.37, Serbia,Belgrade
0.26,6.77,1.09,1.88,0.26,4.52, Ukraine,Odessa
1.9,75.0,1.56,5.0,1.35,39.02, France,Paris
3.99,72.0,1.62,3.19,3.0,36.0, Netherlands,Eindhoven
0.51,20.42,1.15,0.5,0.43,6.12, Bulgaria,Plovdiv
1.0,30.0,1.56,3.5,1.0,11.81, Greece,Thessaloniki
2.41,80.09,0.81,2.65,1.21,13.67, Canada,Ottawa
0.82,25.57,1.16,0.41,0.41,6.75, Bulgaria,Sofia
4.0,70.42,1.65,3.0,2.17,25.0, Netherlands,Rotterdam
0.51,20.42,1.12,0.56,0.45,7.66, Bulgaria,Varna
0.55,20.0,1.34,0.85,0.48,4.25, Serbia,Novi Sad
2.6,90.0,1.66,5.0,2.2,36.0, Netherlands,Utrecht
2.8,81.0,1.44,3.9,2.0,30.0, Germany,Berlin
1.19,53.91,0.8,5.39,1.8,11.95, Lebanon,Beirut
